Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Annual Average Rainfall in mm,Year,,,,,Annual Average Temparature
Aus,Bakergonj ,470150,181155,,1969-70 ,,,,,
Aus,Bogra ,286080,95240,,1969-70 ,,,,,
Aus,Chittagong ,264775,121470,,1969-70 ,,,,,
Aus,Chittagong H.T. ,128710,60160,,1969-70 ,,,,,
Aus,Comilla ,566325,224045,,1969-70 ,,,,,
Aus,Dhaka ,499125,185035,,1969-70 ,,,,,
Aus,Dinajpur ,484460,187185,,1969-70 ,,,,,
Aus,Faridpur ,577015,164925,,1969-70 ,,,,,
Aus,Jessore ,636155,214345,,1969-70 ,,,,,
Aus,Khulna ,119700,49115,,1969-70 ,,,,,
Aus,Kishoregonj ,218880,54375,,1969-70 ,,,,,
Aus,Kushtia ,359405,97455,,1969-70 ,,,,,
Aus,Mymensingh ,1089970,325685,,1969-70 ,,,,,
Aus,Noakhali ,478290,154690,,1969-70 ,,,,,
Aus,Pabna ,414815,145150,,1969-70 ,,,,,
Aus,Patuakhali ,126740,39200,,1969-70 ,,,,,
Aus,Rajshahi ,474080,173860,,1969-70 ,,,,,
Aus,Rangpur ,906800,324985,,1969-70 ,,,,,
Aus,Sylhet ,360260,164960,,1969-70 ,,,,,
Aus,Tangail ,0,0,,1969-70 ,,,,,
Aus,Bakergonj ,508750,185765,,1970-71 ,,,,,
Aus,Bogra ,228600,81120,,1970-71 ,,,,,
Aus,Chittagong ,217790,100405,,1970-71 ,,,,,
Aus,Chittagong H.T. ,121610,44360,,1970-71 ,,,,,
Aus,Comilla ,564220,213480,,1970-71 ,,,,,
Aus,Dhaka ,400750,145300,,1970-71 ,,,,,
Aus,Dinajpur ,489920,189150,,1970-71 ,,,,,
Aus,Faridpur ,479420,142475,,1970-71 ,,,,,
Aus,Jessore ,637010,226515,,1970-71 ,,,,,
Aus,Khulna ,83640,33645,,1970-71 ,,,,,
Aus,Kishoregonj ,231180,78300,,1970-71 ,,,,,
Aus,Kushtia ,336900,116210,,1970-71 ,,,,,
Aus,Mymensingh ,709830,237810,,1970-71 ,,,,,
Aus,Noakhali ,489270,177935,,1970-71 ,,,,,
Aus,Pabna ,324480,100485,,1970-71 ,,,,,
Aus,Patuakhali ,127670,34190,,1970-71 ,,,,,
Aus,Rajshahi ,463400,170740,,1970-71 ,,,,,
Aus,Rangpur ,916840,367785,,1970-71 ,,,,,
Aus,Sylhet ,355030,157025,,1970-71 ,,,,,
Aus,Tangail ,198640,60490,,1970-71 ,,,,,
